idx,token,ar_score,ar_nc,ar_dac,ar_ep,ar_ttc,ar_comfort,human_score
0,41f86f5fb97d505c,0.0,1.0,0.0,0.0,1.0,1.0,0.8933024390107187
1,e24e2c91fb5759dc,0.0,1.0,0.0,0.0,1.0,1.0,0.9000308441125116
2,4b347fca93c65596,0.0,1.0,0.0,0.0,1.0,1.0,0.8594304509503123
3,2c9ea4fc0e8e5ef2,0.0,1.0,0.0,0.0,1.0,1.0,0.9904922676685258
4,5bd8cf3fa67a524f,0.0,1.0,0.0,0.0,0.0,1.0,1.0
5,c0f364f8ed645542,0.0,1.0,0.0,0.0,1.0,1.0,0.9098124192379041
6,c3cdc9086b1a55f6,0.0,1.0,0.0,0.0,1.0,1.0,0.8679076784010507
7,e1db7cf1ba505f99,0.0,1.0,0.0,0.0,1.0,1.0,0.912035789211013
8,5c9063357a725208,0.0,1.0,0.0,0.0,0.0,1.0,1.0
9,3f6b582803bd58e8,0.9434256553310459,1.0,1.0,0.8642215727945104,1.0,1.0,0.8448178802682712
10,00685a5276625b57,0.0,1.0,0.0,0.0,1.0,1.0,0.8976249150857868
11,e22fe7366ecd5c70,0.0,0.0,1.0,0.0,0.0,1.0,1.0
12,ed0c080a65445565,0.7691785334785689,1.0,1.0,0.44602848034856524,1.0,1.0,0.8534718367166576
13,4413dc9f17ab56b0,0.0,1.0,0.0,0.0,1.0,1.0,0.9085043685943349
14,afe2240435575a92,0.9960628624070917,1.0,1.0,0.9905508697770203,1.0,1.0,0.938862582514421
15,5603aa72d59e58b2,0.5833333333333334,1.0,1.0,1.0,0.0,1.0,0.9809612200226604
16,2bce4431c5da5d1f,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,7328fe7f857051ea,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,4cdcf106cb5d5c63,0.0,0.0,1.0,0.0,0.0,1.0,1.0
19,9e2858dd989e5cc4,0.9875830136168621,1.0,1.0,0.9701992326804688,1.0,1.0,0.9711102562851991
